Timestamp,Open,High,Low,Close,Volume,Spread,Alta_Volatilidad,Return,Spread_Lag1
2020-01-01,7160.69,7237.35,7150.0,7178.68,1119.10969318,87.35000000000036,0,0.002512327722607834,
2020-01-02,7174.7,7184.94,6900.0,6950.56,3972.70795427,284.9399999999996,0,-0.03124033060615767,87.35000000000036
2020-01-03,6945.7,7402.31,6853.53,7338.91,8072.72908749,548.7800000000007,1,0.05661200454957745,284.9399999999996
2020-01-04,7332.58,7396.1,7256.03,7344.48,3256.73735349,140.07000000000062,0,0.0016228939882005564,548.7800000000007
2020-01-05,7356.05,7495.0,7310.0,7356.7,2707.27385549,185.0,0,8.836264027564199e-05,140.07000000000062
2020-01-06,7352.12,7817.0,7342.46,7762.74,6728.28277831,474.53999999999996,0,0.05585055739024933,185.0
2020-01-07,7768.17,8220.0,7697.03,8159.01,12158.32281238,522.9700000000003,0,0.05031300808298481,474.53999999999996
2020-01-08,8151.79,8463.57,7872.09,8044.44,11913.23248192,591.4799999999996,1,-0.013168886833443987,522.9700000000003
2020-01-09,8048.94,8048.94,7737.97,7806.78,5957.24423978,310.96999999999935,0,-0.030085949205733906,591.4799999999996
2020-01-10,7812.7,8200.0,7667.0,8200.0,8999.98825687,533.0,1,0.04957313092784827,310.96999999999935
2020-01-11,8200.0,8286.0,8000.0,8016.22,3788.3273136000003,286.0,0,-0.022412195121951188,533.0
2020-01-12,8008.1,8190.0,7960.0,8180.76,2056.08675369,230.0,0,0.021560669821805403,286.0
2020-01-13,8180.75,8196.81,8039.0,8105.01,4011.43909644,157.8099999999995,0,-0.009258319836200811,230.0
2020-01-14,8105.01,8895.0,8105.01,8813.04,17009.43193382,789.9899999999998,1,0.08735707913993945,157.8099999999995
2020-01-15,8813.2,8903.2,8555.0,8809.17,8606.88339936,348.2000000000007,0,-0.0004572686424908835,789.9899999999998
2020-01-16,8810.62,8852.35,8573.91,8710.15,6713.2584764,278.4400000000005,0,-0.011403283764366317,348.2000000000007
2020-01-17,8715.39,9015.22,8661.52,8892.63,9363.15892644,353.6999999999989,0,0.020336439333179558,278.4400000000005
2020-01-18,8898.03,9000.1,8798.9,8908.53,3678.00926615,201.20000000000073,0,0.0011800364799848953,353.6999999999989
2020-01-19,8901.02,9188.1,8461.38,8696.6,8785.449927,726.7200000000012,1,-0.022965907278042298,201.20000000000073
